task_id,workload,crp_id,node_id,crp_type,fraction,price,payment,cost,crp_profit
task_14,0.650554,crp_3,node_3,price_setting,0.074633,14370.853158,33.877756,30.661323,3.216433
task_14,0.650554,crp_5,node_5,price_setting,0.074742,14713.057619,34.785796,31.391541,3.394255
task_14,0.650554,crp_8,node_8,price_setting,0.072015,15229.578392,33.427648,30.034955,3.392694
task_14,0.650554,crp_11,node_11,price_setting,0.068335,15750.014869,31.127,27.846927,3.280073
task_14,0.650554,crp_16,node_16,price_setting,0.065011,16626.216213,29.739755,26.415452,3.324303
task_14,0.650554,crp_18,node_18,price_setting,0.06414,16979.764967,29.563239,26.183693,3.379546
task_14,0.650554,crp_19,node_19,price_setting,0.064317,17157.207832,30.037733,26.565998,3.471735
task_14,0.650554,crp_20,node_20,price_setting,0.063907,17335.07274,29.963253,26.462404,3.500849
task_14,0.650554,crp_23,node_23,price_setting,0.061724,17871.28509,28.815324,25.340388,3.474936
task_14,0.650554,crp_25,node_25,price_setting,0.060666,18230.951804,28.396582,24.90155,3.495032
task_14,0.650554,crp_29,node_29,price_setting,0.05784,18955.51734,26.838543,23.402957,3.435586
task_15,0.668251,crp_3,node_3,price_setting,0.071116,14370.818655,32.455645,29.374301,3.081344
task_15,0.668251,crp_5,node_5,price_setting,0.070702,14713.011833,32.843043,29.638447,3.204597
task_15,0.668251,crp_8,node_8,price_setting,0.068199,15229.53795,31.632032,28.421657,3.210375
task_15,0.668251,crp_11,node_11,price_setting,0.065102,15749.986512,29.80896,26.667826,3.141134
task_15,0.668251,crp_16,node_16,price_setting,0.061875,16626.189884,28.42513,25.247816,3.177314
task_15,0.668251,crp_18,node_18,price_setting,0.060912,16979.737099,28.132859,24.916869,3.21599
task_15,0.668251,crp_19,node_19,price_setting,0.060841,17157.175589,28.361075,25.083174,3.277901
task_15,0.668251,crp_20,node_20,price_setting,0.060385,17335.039797,28.226653,24.928752,3.2979
task_15,0.668251,crp_23,node_23,price_setting,0.058402,17871.256059,27.220471,23.937902,3.282569
task_15,0.668251,crp_25,node_25,price_setting,0.057359,18230.923246,26.785053,23.488404,3.29665
task_15,0.668251,crp_29,node_29,price_setting,0.054835,18955.494053,25.452138,22.194052,3.258086
task_16,0.628276,crp_3,node_3,price_setting,0.073882,14370.78249,30.963747,28.024114,2.939633
task_16,0.628276,crp_5,node_5,price_setting,0.074126,14712.990001,31.911177,28.797548,3.113629
task_16,0.628276,crp_8,node_8,price_setting,0.071402,15229.515887,30.648292,27.537798,3.110494
task_16,0.628276,crp_11,node_11,price_setting,0.067651,15749.957331,28.453299,25.455066,2.998234
task_16,0.628276,crp_16,node_16,price_setting,0.064377,16626.165306,27.198986,24.158764,3.040222
task_16,0.628276,crp_18,node_18,price_setting,0.063549,16979.716343,27.067647,23.973455,3.094192
task_16,0.628276,crp_19,node_19,price_setting,0.063788,17157.160152,27.556534,24.371641,3.184893
task_16,0.628276,crp_20,node_20,price_setting,0.063399,17335.026127,27.503922,24.290482,3.21344
task_16,0.628276,crp_23,node_23,price_setting,0.061212,17871.24172,26.431967,23.244504,3.187463
task_16,0.628276,crp_25,node_25,price_setting,0.060175,18230.910367,26.057662,22.850555,3.207108
task_16,0.628276,crp_29,node_29,price_setting,0.057333,18955.479624,24.594693,21.446384,3.148309
task_17,0.686431,crp_3,node_3,price_setting,0.074122,14370.933755,37.202861,33.670545,3.532315
task_17,0.686431,crp_5,node_5,price_setting,0.074386,14713.141702,38.360217,34.616987,3.74323
task_17,0.686431,crp_8,node_8,price_setting,0.071648,15229.655079,36.837693,33.098735,3.738958
task_17,0.686431,crp_11,node_11,price_setting,0.067869,15750.080627,34.183721,30.581411,3.602309
task_17,0.686431,crp_16,node_16,price_setting,0.064585,16626.275071,32.677949,29.025113,3.652836
task_17,0.686431,crp_18,node_18,price_setting,0.06376,16979.822672,32.524936,28.806723,3.718213
task_17,0.686431,crp_19,node_19,price_setting,0.064008,17157.267104,33.121466,29.293215,3.828252
